Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","2450AT07A0100","2450AT07A0100",146.200000,-120.400000,180.000000,top
"C1","4.7u","C_0603_1608Metric",147.160000,-114.900000,270.000000,top
"C2","4.7u","C_0603_1608Metric",136.600000,-105.660000,0.000000,top
"C3","4.7u","C_0603_1608Metric",125.700000,-113.200000,90.000000,top
"C4","4.7u","C_0603_1608Metric",135.100000,-114.675000,90.000000,top
"C5","4.7u","C_0603_1608Metric",123.200000,-113.225000,180.000000,top
"C6","4.7u","C_0603_1608Metric",127.350000,-113.125000,90.000000,top
"C7","4.7u","C_0603_1608Metric",109.625000,-102.300000,90.000000,top
"C8","4.7u","C_0603_1608Metric",112.350000,-112.800000,180.000000,top
"C9","15pF","C_0402_1005Metric",147.325000,-116.900000,0.000000,top
"C10","dnp","C_0402_1005Metric",149.145000,-118.925000,180.000000,top
"C11","15pF","C_0402_1005Metric",141.225000,-117.550000,180.000000,top
"C12","dnp","C_0402_1005Metric",147.725000,-119.445000,90.000000,top
"C13","1u","C_0402_1005Metric",144.050000,-104.100000,90.000000,top
"C14","1u","C_0402_1005Metric",139.375000,-114.505000,90.000000,top
"C15","1u","C_0402_1005Metric",148.620000,-111.750000,0.000000,top
"C16","10n","C_0402_1005Metric",148.920000,-110.825000,0.000000,top
"C17","8.2pF","L_0402_1005Metric",149.150000,-119.875000,180.000000,top
"D1","WS2812B-SIDE-A","SK6812SIDE-A",103.150000,-102.150000,270.000000,top
"D2","1N4148WT","D_SOD-523",112.800000,-106.250000,270.000000,top
"J1","Conn_02x14_Odd_Even","PinSocket_2x14_P1.27mm_Vertical_SMD",156.550000,-110.100000,0.000000,top
"J2","Conn_02x02_Odd_Even","PinSocket_2x02_P1.27mm_Vertical_SMD",103.250000,-117.500000,0.000000,top
"J3","Conn_02x02_Odd_Even","PinSocket_2x02_P1.27mm_Vertical_SMD",107.065000,-102.000000,90.000000,top
"L1","MHCHL201610A-2R2M-Q8A","MHCHL201610A-2R2M-Q8A",126.050000,-116.300000,90.000000,top
"L3","BLM18PG181SN1D","L_0603_1608Metric",109.200000,-112.150000,180.000000,top
"P1","USB_C_Plug","UTC009-C-vias-optimized",100.000000,-110.250000,270.000000,top
"Q1","LP0404N3T5G","SOT-883",109.600000,-104.700000,270.000000,top
"Q2","2SK3019","SOT-416",109.150000,-107.000000,90.000000,top
"Q3","LP0404N3T5G","SOT-883",104.650000,-101.700000,90.000000,top
"Q4","2SK3019","SOT-416",118.500000,-101.300000,270.000000,top
"R1","5.1k","R_0402_1005Metric",107.575000,-115.875000,270.000000,top
"R2","10k","R_0402_1005Metric",151.310000,-113.910000,270.000000,top
"R3","267k","R_0402_1005Metric",110.950000,-103.875000,90.000000,top
"R4","10k","R_0402_1005Metric",111.600000,-105.775000,90.000000,top
"R5","100k","R_0402_1005Metric",112.025000,-103.860000,90.000000,top
"R6","100k","R_0402_1005Metric",113.000000,-104.000000,90.000000,top
"R7","1M","R_0402_1005Metric",121.200000,-100.400000,270.000000,top
"R8","453k","R_0402_1005Metric",120.550000,-114.975000,90.000000,top
"R9","100k","R_0402_1005Metric",121.175000,-113.050000,90.000000,top
"R10","10k","R_0402_1005Metric",118.375000,-114.050000,180.000000,top
"R11","100k","R_0402_1005Metric",104.700000,-103.600000,90.000000,top
"R12","1k","R_0402_1005Metric",111.475000,-99.475000,0.000000,top
"R13","499R","R_0402_1005Metric",139.000000,-116.425000,0.000000,top
"R14","0R","R_0402_1005Metric",145.050000,-114.100000,180.000000,top
"R15","10k","R_0402_1005Metric",120.200000,-101.400000,90.000000,top
"R16","267k","R_0402_1005Metric",151.870000,-115.840000,270.000000,top
"R17","1k","R_0402_1005Metric",118.200000,-103.000000,0.000000,top
"R18","100k","R_0402_1005Metric",108.750000,-108.700000,0.000000,top
"R19","66.5k","R_0402_1005Metric",128.750000,-104.000000,0.000000,top
"R20","100k","R_0402_1005Metric",126.500000,-104.050000,0.000000,top
"RN1","4.7k","R_Array_Convex_4x0603",136.975000,-118.700000,90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",112.750000,-116.000000,0.000000,top
"SW2","SW_SPST","sidebutton-1TS003B-1400-3500A-CT",131.491563,-118.872541,168.000000,top
"SW3","SW_SPST","sidebutton-1TS003B-1400-3500A-CT",126.100000,-100.650000,350.000000,top
"U1","ESP32-S3FN8","QFN-56-1EP_7x7mm_P0.4mm_EP4.1x4.1mm",143.175000,-109.275000,180.000000,top
"U2","LTH7R.","TSOT-23-5",116.300000,-111.750000,180.000000,top
"U3","QMA7981","LGA-12_2x2mm_P0.5mm",128.200000,-108.550000,180.000000,top
"U4","ATECC608A-SSHDA","SOIC-8_3.9x4.9mm_P1.27mm",122.700000,-105.600000,315.000000,top
"U5","ESP-PSRAM32","SOIC-8_3.9x4.9mm_P1.27mm",134.490000,-109.090000,0.000000,top
"U6","QMC7983","QMC7983",128.050000,-105.500000,0.000000,top
"U7","M3406-ADJ","SOT-23-5",122.900000,-115.950000,90.000000,top
"U8","SSP61CC3002MR","SOT-23W",115.500000,-105.250000,180.000000,top
"U9","SN74LVC1G125DBVR","SOT-23-5",114.525000,-101.250000,180.000000,top
"U10","ESDU5V0H4","SOT-23-6",112.250000,-109.450000,90.000000,top
"U11","LMV321","SOT-23-5",131.500000,-103.150000,270.000000,top
"Y1","X322540MPB4SI","Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm",144.275000,-116.325000,180.000000,top
