Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",109.260000,-99.610000,180.000000,top
"C2","1u","C_0402_1005Metric",107.320000,-99.620000,180.000000,top
"C3","10n","C_0402_1005Metric",123.595000,-99.600000,0.000000,top
"C4","10n","C_0402_1005Metric",115.525000,-99.600000,0.000000,top
"J5","Conn_01x08","XUNPU_FPC-05F-8PH20",138.460000,-117.330000,354.000000,top
"J6","Conn_01x08","XUNPU_FPC-05F-8PH20",150.040000,-117.450000,4.000000,top
"Q1","LP0404N3T5G","SOT-883",111.700000,-99.350000,180.000000,top
"Q2","LP0404N3T5G","SOT-883",119.150000,-99.350000,180.000000,top
"R1","10k","R_0402_1005Metric",113.625000,-99.550000,180.000000,top
"R2","10k","R_0402_1005Metric",121.050000,-99.675000,180.000000,top
"R3","47R","R_0402_1005Metric",117.425000,-99.600000,180.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_CK_KMR2",133.800000,-104.100000,270.000000,top
"SW2","SW_Push","SW_Push_1P1T_NO_CK_KMR2",157.550000,-117.340000,90.000000,top
"SW3","SW_Push","SW_Push_1P1T_NO_CK_KMR2",157.530000,-111.470000,270.000000,top
"U1","5-WAY-JOYSTICK","JOYSTICK-5-WAY",145.400000,-108.700000,225.000000,top
